run,run_name,orthogonalizer_type,orth_schedule_name,train/tokens,spec/label,spec/matrix_index,spec/sample_slot,spec/candidate_position,spec/candidate_count,spec/rows,spec/cols,spec/semi_orth_side,spec/buffer_post_semi_orth_error,spec/buffer_post_stable_rank,spec/buffer_post_sv_max,spec/buffer_post_sv_min,spec/buffer_post_sv_std,spec/buffer_post_svd_entropy,spec/g_post_semi_orth_error,spec/g_post_stable_rank,spec/g_post_sv_max,spec/g_post_sv_min,spec/g_post_sv_std,spec/g_post_svd_entropy,spec/g_pre_semi_orth_error,spec/g_pre_stable_rank,spec/g_pre_sv_max,spec/g_pre_sv_min,spec/g_pre_sv_std,spec/g_pre_svd_entropy
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.0.attn.q_proj,0,0,0,66,768,768,cols,63.60340530855228,3.8181262016296387,38.52161407470703,0.0004966005217283964,2.5197880268096924,5.550657272338867,0.48477055627756804,412.4982604980469,1.2033721208572388,0.0015168702229857445,0.3001050353050232,6.560583591461182,64.85341762309064,3.733832597732544,39.10544204711914,0.00017222158203367144,2.530240535736084,5.550193786621094
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.1.attn.q_proj,0,1,6,66,768,768,cols,4.517913032890979,1.6485044956207275,10.936264991760254,7.839717000024393e-06,0.49714431166648865,4.674780368804932,0.7320382304477885,230.23211669921875,1.2030905485153198,0.0004580474633257836,0.38581860065460205,6.349458694458008,4.544686158386265,1.6505897045135498,10.969137191772461,6.510786533908686e-06,0.4989471137523651,4.674485683441162
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.2.attn.q_proj,0,2,12,66,768,768,cols,3.441613290929961,1.7987843751907349,9.440317153930664,2.2917481601325562e-06,0.44930675625801086,4.4128594398498535,0.7880290260947665,184.33724975585938,1.2027784585952759,0.00015035535034257919,0.3860367238521576,6.243295192718506,3.475938777882442,1.7922337055206299,9.49452018737793,1.030007751978701e-06,0.451065331697464,4.413355350494385
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.3.attn.q_proj,0,3,18,66,768,768,cols,2.2010822417437454,1.5599223375320435,7.396012306213379,7.462069788743975e-06,0.32846471667289734,4.327506065368652,0.802435858282878,171.55677795410156,1.2026633024215698,0.00018821103731170297,0.3797862231731415,6.224819183349609,2.1977219047792675,1.5649348497390747,7.388251304626465,8.056356818997301e-06,0.32862263917922974,4.33005428314209
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.4.attn.q_proj,0,4,24,66,768,768,cols,1.3717128945146706,1.4624605178833008,5.194254398345947,1.0112291874975199e-06,0.22390523552894592,4.225582122802734,0.8211833092514811,154.83531188964844,1.2028684616088867,0.00012558954767882824,0.3696138262748718,6.202006816864014,1.3732123271934376,1.46664559841156,5.19939661026001,3.448919017046137e-07,0.2244359403848648,4.226999759674072
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.5.attn.q_proj,0,5,30,66,768,768,cols,1.1510548508278755,1.7861493825912476,4.082024097442627,9.642694749345537e-07,0.19414593279361725,4.199797630310059,0.8268770376649736,150.03282165527344,1.2027907371520996,0.0001460140774725005,0.3664330244064331,6.195924282073975,1.1517334704098383,1.7895303964614868,4.087112903594971,5.396547066993662e-07,0.19456209242343903,4.20121431350708
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.5.mlp.fc2,0,6,35,66,768,3072,rows,9.076338966569983,1.2268003225326538,15.834308624267578,0.0014257087605074048,0.620262861251831,5.12029504776001,0.8049542527173202,199.96531677246094,0.9316405653953552,0.022820867598056793,0.23719874024391174,6.469959735870361,9.140691374084371,1.229875087738037,15.889378547668457,0.0014260309981182218,0.6232392191886902,5.11600399017334
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.6.mlp.fc2,0,7,41,66,768,3072,rows,8.885909777507313,1.2071502208709717,15.667769432067871,0.0013443650677800179,0.609880805015564,5.06614875793457,0.8105280182574496,198.1496124267578,0.9219753742218018,0.021897414699196815,0.23674610257148743,6.463988304138184,8.949548051473785,1.2095309495925903,15.7232027053833,0.0013469639234244823,0.6126781702041626,5.062077522277832
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.7.mlp.fc2,0,8,47,66,768,3072,rows,9.55855585533646,1.183426856994629,16.25660514831543,0.0012580157490447164,0.6276997327804565,5.005499839782715,0.8104629093198698,197.8304443359375,0.9246242642402649,0.021848149597644806,0.23911608755588531,6.460329532623291,9.62610066555772,1.1849720478057861,16.313735961914062,0.0012570448452606797,0.6303468346595764,5.001962184906006
runs/fast_0605_1925,fast_0605_1925,fast,fast,10092544,blocks.8.mlp.fc2,0,9,53,66,768,3072,rows,8.70317197744297,1.2011470794677734,15.504454612731934,0.0014036475913599133,0.6029626727104187,4.990058422088623,0.8168773785307571,193.27996826171875,0.9181564450263977,0.02434428408741951,0.23713840544223785,6.455595970153809,8.769643660227926,1.202339768409729,15.563444137573242,0.0014078286476433277,0.6055920720100403,4.9866743087768555
