run_name,orth_schedule_name,orthogonalizer_type,seed,lr_mul,train/tokens,spec/label,spec/buffer_post_semi_orth_error,spec/buffer_post_stable_rank,spec/buffer_post_sv_max,spec/buffer_post_sv_min,spec/buffer_post_sv_std,spec/buffer_post_svd_entropy,spec/candidate_count,spec/candidate_position,spec/cols,spec/g_post_semi_orth_error,spec/g_post_stable_rank,spec/g_post_sv_max,spec/g_post_sv_min,spec/g_post_sv_std,spec/g_post_svd_entropy,spec/g_pre_semi_orth_error,spec/g_pre_stable_rank,spec/g_pre_sv_max,spec/g_pre_sv_min,spec/g_pre_sv_std,spec/g_pre_svd_entropy,spec/matrix_index,spec/rows,spec/sample_slot,spec/semi_orth_side
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.0.attn.q_proj,65.79116692239215,4.036823749542236,38.22349166870117,0.0008513845968991518,2.5752248764038086,5.5382819175720215,66,0,768,0.4894919178093191,411.26702880859375,1.2038995027542114,0.00020212862000335008,0.3033359944820404,6.558720111846924,66.93652040517432,3.9587230682373047,38.75703048706055,0.0006392422947101295,2.586441993713379,5.537604331970215,0,768,0,cols
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.1.attn.q_proj,3.3399775511127436,1.7700493335723877,9.296886444091797,1.1211858691240195e-05,0.4366166889667511,4.7587995529174805,66,6,768,0.7157587248108306,242.8448028564453,1.2030887603759766,0.0006945354398339987,0.3846285343170166,6.370241165161133,3.3578977882116092,1.7738686800003052,9.321601867675781,1.4656726307293866e-05,0.438244491815567,4.758420467376709,0,768,1,cols
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.2.attn.q_proj,3.7967245943437766,1.7535539865493774,9.962579727172852,7.242041988320125e-07,0.4684256315231323,4.39755916595459,66,12,768,0.7904659311189609,182.16087341308594,1.2028430700302124,0.00012110129318898544,0.385014146566391,6.239913463592529,3.8246319643330535,1.750406265258789,10.003889083862305,1.7070394733309513e-06,0.4699385166168213,4.3982367515563965,0,768,2,cols
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.3.attn.q_proj,2.0350735844085475,1.639519453048706,7.040529727935791,3.0845731089357287e-06,0.32021886110305786,4.347661972045898,66,18,768,0.804062755816188,169.8153076171875,1.2024247646331787,4.2479674448259175e-05,0.37845876812934875,6.222479820251465,2.038140587026339,1.645361304283142,7.045536041259766,4.214945874991827e-06,0.32100385427474976,4.348703861236572,0,768,3,cols
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.4.attn.q_proj,1.3805085200822687,1.5114796161651611,5.219010353088379,1.0411090443085413e-06,0.22869394719600677,4.213418960571289,66,24,768,0.8210741519840375,154.20187377929688,1.2027392387390137,8.337979670614004e-05,0.36842137575149536,6.203395843505859,1.3811414395219979,1.517852783203125,5.2206854820251465,1.130765213019913e-06,0.2292342185974121,4.214689254760742,0,768,4,cols
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.5.attn.q_proj,1.204174245971863,1.740461826324463,4.3994550704956055,7.526437002525199e-06,0.20671261847019196,4.152296543121338,66,30,768,0.834943801024358,143.59866333007812,1.2029367685317993,0.00012912867532577366,0.36434057354927063,6.174318790435791,1.2065459732329622,1.7412320375442505,4.413240432739258,8.094642907963134e-06,0.20740093290805817,4.153017520904541,0,768,5,cols
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.5.mlp.fc2,8.910933083098763,1.2277061939239502,15.688610076904297,0.0014233000110834837,0.6146418452262878,5.12716007232666,66,35,3072,0.8016135998502503,204.8238983154297,0.928574800491333,0.022481705993413925,0.23760665953159332,6.472801208496094,8.955318933290055,1.23121178150177,15.726579666137695,0.0014229450607672334,0.617030918598175,5.123451232910156,0,768,6,rows
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.6.mlp.fc2,8.6949690772141,1.2070422172546387,15.497481346130371,0.0013103114906698465,0.6030917763710022,5.076042652130127,66,41,3072,0.8067891409582054,200.17176818847656,0.9268399477005005,0.02146681770682335,0.23763316869735718,6.466833591461182,8.73660025497654,1.209776759147644,15.533876419067383,0.0013136513298377395,0.6052110195159912,5.072729587554932,0,768,7,rows
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.7.mlp.fc2,9.340045305381551,1.1850700378417969,16.0685977935791,0.0012230091961100698,0.6207190155982971,5.014408111572266,66,47,3072,0.8061940067264375,201.50875854492188,0.92685467004776,0.022335032001137733,0.23989669978618622,6.463990211486816,9.385657350955423,1.1868876218795776,16.107484817504883,0.0012247596168890595,0.6227130889892578,5.011645793914795,0,768,8,rows
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.8.mlp.fc2,8.49117397305841,1.2025394439697266,15.312886238098145,0.0012356620281934738,0.5957171320915222,4.9998016357421875,66,53,3072,0.8129113082051379,197.48245239257812,0.9185436964035034,0.022528767585754395,0.23783595860004425,6.459455490112305,8.536862552605422,1.2041202783584595,15.353776931762695,0.0012371412012726068,0.5977205634117126,4.997130393981934,0,768,9,rows
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.9.mlp.fc2,8.02311256569776,1.1949869394302368,14.881401062011719,0.001169632887467742,0.5774887800216675,4.970274925231934,66,59,3072,0.8192232273980614,192.46780395507812,0.9147005677223206,0.020892726257443428,0.23777452111244202,6.451478958129883,8.065479350568923,1.1961488723754883,14.920612335205078,0.001169501687400043,0.5793089866638184,4.967942714691162,0,768,10,rows
followup4090_20260608_primary_spectral_fast5,fast5,fast,0,1.0,10092544,blocks.10.mlp.fc2,7.306797524245854,1.2155561447143555,14.19137954711914,0.001166311209090054,0.5551457405090332,4.962284564971924,66,65,3072,0.8234649439129059,187.79837036132812,0.9139922261238098,0.020296990871429443,0.2361966222524643,6.448299407958984,7.354032750775204,1.2161986827850342,14.237369537353516,0.0011642415774986148,0.5571164488792419,4.959978103637695,0,768,11,rows
